5	19083
160	125
24	83
64	83
9	83
9	83
9	83
1	41
17	291
1	83
1	41
1	41
1	41
1	41
20	41
3	83
1	83
3	41
20	125
48	41
48	125
9	41
12	83
9	125
12	125
1	83
1	41
64	333
88	125
10	83
1	125
1	41
1	41
20	83
18	83
18	83
32	41
1	83
1	83
1	83
1	0
1	41
20	41
12	83
20	41
12	0
20	0
20	41
1	83
1	41
1	41
20	83
1	83
20	0
1	41
20	41
1	41
20	41
20	41
18	41
18	0
32	41
32	83
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	0
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
11	41
3	83
11	41
2	83
18	83
11	41
11	83
11	83
11	125
200	291
72	83
64	83
20	83
1	83
1	41
1	41
1	41
1	41
1	0
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	41
1	0
1	0
1	41
1	0
11	41
3	0
11	0
11	41
64	41
832	166
64	83
32	125
48	83
768	708
1096	791
11600	458
1120	166
40	41
32	83
40	125
24	0
32	166
24	166
32	41
200	125
200	208
24	83
32	41
24	41
32	41
14	41
14	41
14	41
14	41
365	125
6	41
5	83
128	83
3	41
1	41
200	41
32	41
304	83
32	125
304	166
304	83
304	83
304	0
304	41
304	0
304	83
304	83
304	0
304	83
304	41
304	83
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	83
304	83
304	0
304	41
304	83
304	83
304	41
200	41
200	125
24	41
24	41
32	41
14	41
14	0
14	41
14	41
365	83
8	41
8	166
8	125
10	166
9	41
9	125
128	83
128	41
5	41
192	41
4	41
2	41
128	83
3	166
11	41
200	83
304	83
304	83
304	83
304	83
304	83
304	83
304	83
304	83
304	41
304	41
304	83
304	83
304	83
304	41
304	83
304	41
304	83
304	83
304	41
304	83
304	83
304	83
304	83
304	83
304	41
304	41
304	41
304	83
304	41
304	83
200	41
200	83
24	83
24	41
32	83
14	41
14	41
14	41
14	41
365	41
4	166
4	166
4	125
10	166
9	41
9	166
128	83
128	41
6	41
2	41
128	83
5	83
3	125
11	0
200	83
304	0
304	41
304	83
304	125
304	83
304	83
304	83
304	83
304	0
304	83
304	83
304	83
304	83
304	83
304	83
304	41
304	41
304	83
304	83
304	83
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	41
304	83
88	41
32	83
